category,original_price,link,description,title,price,location
featured deal,280,https://www.livingsocial.com/deals/674726-2-months-of-unlimited-yoga-or-20-yoga-classes,"Voted Best Yoga Studio in San Francisco by SF Weekly readers three years in a row, this family-owned-and-operated studio has been keeping things qu...",2 Months of Unlimited Yoga or 20 Yoga Classes,,San Francisco
popular,32,https://www.livingsocial.com/deals/807956-two-or-three-museum-admissions-plus-store-credit,"Nurture your kids' creativity at this museum, which boasts seven interactive exhibits -- like Wave Workshop and Lookout Cove -- in which kids can t...",Two or Three Museum Admissions Plus Store Credit,,San Francisco
most shared,70,https://www.livingsocial.com/deals/813238-ride-the-ducks-tickets-for-two,"Ride though historic San Francisco before splashing into the Bay and seeing this beautiful city from the water:

‚Ä?$40 ($70 value) for two ticket...",Ride the Ducks Tickets for Two,,San Francisco
,60,https://www.livingsocial.com/deals/836940-90-minute-wine-tasting-cruise,"Locals Melissa and Kevin were looking for a way to unite their loves of San Francisco, the Bay, California wine, and meeting new people. Their drea...",90-Minute Wine-Tasting Cruise,,San Francisco
,38,https://www.livingsocial.com/deals/804844-90-minute-coast-and-tributaries-tour,How well do you know the body of water that gives the Bay Area its name? Learn all about the Bay during an unforgettable outing with San Francisco ...,90-Minute Coast and Tributaries Tour,,San Francisco
,24,https://www.livingsocial.com/deals/830030-beer-tasting-for-two-or-four,The Carneros Brewing Company is a family-owned microbrewery in the heart of the Carneros region of Sonoma Valley. Enjoy their hand-crafted brews wi...,Beer Tasting for Two or Four,,San Francisco
,199,https://www.livingsocial.com/deals/814882-tandem-skydive-jump,See those folks up there? They've just jumped from a plane and are free falling at up to 120MPH. Join them -- and get 10% off video services to pro...,Tandem Skydive Jump,,San Francisco
,50,https://www.livingsocial.com/deals/838416-charles-schwab-cup-championship-ticket,"On October 31, the Charles Schwab Cup Championship returns to San Francisco and with this offer, you can catch all of the action on this Championsh...",Charles Schwab Cup Championship: Ticket,,San Francisco
,,https://www.livingsocial.com/sponsors/offers/55-cpk,,$10 Off $40 or More with Pizza Purchase*,,San Francisco
,269,https://www.livingsocial.com/deals/803808-tandem-skydiving-trip,"Take to the air -- at heights of 10,000 feet -- and glimpse beautiful San Francisco while enjoying pure exhilaration:

‚Ä?$119 ($269 value) for an...",Tandem Skydiving Trip,,San Francisco
,100,https://www.livingsocial.com/deals/795122-100-to-spend-on-custom-framing,"What do diplomas, family photos, and crayon drawings of dinosaurs have in common? They all look best in a proper frame. Show your treasures off -- ...",$100 to Spend on Custom Framing,,San Francisco
,30,https://www.livingsocial.com/deals/788984-30-to-spend-on-food-and-drink,"With seasonal, local, and organic ingredients filling every plate, Aperto is a high point of true Potrero Hill dining:

‚Ä?$15 for $30 to spend on...",$30 to Spend on Food and Drink,,San Francisco
,72,https://www.livingsocial.com/deals/708190-90-minute-bridge-to-bridge-cruise-for-two,"For more than 120 years, visitors and San Franciscans alike have been boarding these charismatic boats and admiring the sites of the Bay. Take part...",90-Minute Bridge to Bridge Cruise for Two,,San Francisco
,120,https://www.livingsocial.com/deals/823810-window-washing-for-20-panes,Polish up your windows with a window washing for 20 panes (internal or external) including window screen cleaning from the pros at We Love Washing ...,Window Washing for 20 Panes,,San Francisco
,60,https://www.livingsocial.com/deals/749760-brazilian-wax,Just because the summer months are ending doesn't mean you should discontinue your beauty routine. Stay smooth all season long with this deal from ...,Brazilian Wax,,San Francisco
,279,https://www.livingsocial.com/deals/724176-unlimited-duct-cleaning-with-camera-inspection,Breathe a deep -- and fresh -- sigh of relief when you enlist the services of this trusted team that adheres to the strict EPA guidelines while ins...,Unlimited Duct Cleaning with Camera Inspection,,San Francisco
,221,https://www.livingsocial.com/deals/830896-carpet-cleaning-or-upholstery-cleaning-for-a-sofa,Cyclone Air Systems uses a six-stage steam cleaning process to ensure your carpets get their cleanest. It's a 20-year-old system that's tried and t...,Carpet Cleaning or Upholstery Cleaning for a Sofa,,San Francisco
,180,https://www.livingsocial.com/deals/799774-75-minute-thai-massage-for-one-or-two,"Feel immediately soothed upon entering this brand-new spa in the Mission District, where you'll be met with soft Thai music and a steaming cup of t...",75-Minute Thai Massage for One or Two,,San Francisco
,75,https://www.livingsocial.com/deals/765196-90-minute-halloween-tour,"Foggy Presidio, where thousands of war veterans are buried, is perhaps one of the city's most haunted quarters. Have a ghostly good time aboard a v...",90-Minute Halloween Tour,,San Francisco
only 74 left,159,https://www.livingsocial.com/deals/727034-house-cleaning-package,"This aptly named company, which goes by AYS for short, offers its top-notch cleaning services to any home (up to 2,799 square feet total) within 20...",House Cleaning Package,,San Francisco
,150,https://www.livingsocial.com/deals/808976-150-to-spend-on-a-facial-or-peel,"Everyone's skin is different, so make sure you're caring for yours with the right treatment by visiting a Union Street spa that's home to a myriad ...",$150 to Spend on a Facial or Peel,,San Francisco
,240,https://www.livingsocial.com/deals/770814-prix-fixe-dinner-and-wine-for-two-or-four,"One of Zagat's featured Grown-up Restaurants in the Marina, Circa combines elegant dining with an upscale lounge for a chic and delicious night out...",Prix-Fixe Dinner and Wine for Two or Four,,San Francisco
,260,https://www.livingsocial.com/deals/748042-two-hours-of-electrical-services,"Set your switchboards straight with this locally owned-and-operated electrical contracting company, which has been lighting up the Bay area since 1...",Two Hours of Electrical Services,,San Francisco
,300,https://www.livingsocial.com/deals/825934-attic-insulation-installation,"The lovely weather here in the bay area hasn't started to dip down just yet, but that doesn't mean those temps won't start to fall -- prepare yours...",Attic Insulation Installation,,San Francisco
,116,https://www.livingsocial.com/deals/670556-carpet-cleaning-for-three-rooms-and-one-hallway,"Your carpet supports you every step of the way -- so show that you love every fiber of its being with this deal from the eco-friendly, quality-guar...",Carpet Cleaning for Three Rooms and One Hallway,,San Francisco
,447,https://www.livingsocial.com/deals/820084-three-hours-of-moving-services,"Disassembling and reassembling your furniture and safeguarding your belongings by providing packing tape, boxes, moving blankets, bubble pack, and ...",Three Hours of Moving Services,,San Francisco
,55,https://www.livingsocial.com/deals/790750-refresh-mint-pedicure,"Lavish your nails with the attention they deserve any Monday through Saturday with this refreshing deal from Thi Spa & Nails in Union Square:
...",Refresh Mint Pedicure,,San Francisco
,150,https://www.livingsocial.com/deals/722098-snowbomb-platinum-pass,"Do you wake up wishing the world was covered with a fresh layer of snow?  Make those powder dreams a reality -- for you, at least -- with this deal...",SnowBomb Platinum Pass,,San Francisco
,149,https://www.livingsocial.com/deals/746156-air-duct-cleaning-packages,"Stand in your house and take a deep breath of good, clean air with the help of Fresh Breeze. These pros' services will improve air quality in your ...",Air Duct Cleaning Packages,,San Francisco
,318,https://www.livingsocial.com/deals/828356-air-duct-cleaning-with-dryer-vent-cleaning,"For nearly 20 years, this trusted team of certified technicians has been making sure families are breathing the best possible air in their homes, s...",Air Duct Cleaning with Dryer Vent Cleaning,,San Francisco
,222,https://www.livingsocial.com/deals/713420-carpet-cleaning-for-five-rooms,Clean Green Carpets believes your home should be the safest and most natural place to live your life. Make their philosophy your reality by improvi...,Carpet Cleaning for Five Rooms,,San Francisco
,180,https://www.livingsocial.com/deals/818536-exterior-pest-control-treatment,"You don't want your yard crawling with bugs... but you don't want it drenched in chemicals, either. This locally owned company is proud to offer Ba...",Exterior Pest Control Treatment,,San Francisco
,80,https://www.livingsocial.com/deals/808754-tibetan-detox-treatment-or-acupuncture,Daily stress can make it hard to pinpoint a way to relax. No need to poke around for an answer: This offer from Diana Shkolnik Acupuncture could wo...,Tibetan Detox Treatment or Acupuncture,,San Francisco
,225,https://www.livingsocial.com/deals/756824-carpet-cleaning-for-750-or-1-500-square-feet,"When you book a cleaning with Lynch Co. Carpet Cleaning, fully licensed carpet care pros will use state-of-the-art equipment and water-extraction m...","Carpet Cleaning for 750 or 1,500 Square Feet",,San Francisco
,90,https://www.livingsocial.com/deals/753080-sunset-sailing-excursion-for-two,"Set sail for beautiful views, relaxation, and an unforgettable Bay Area experience with this deal from San Francisco Sailing Company:

‚Ä?$45 ($90...",Sunset Sailing Excursion for Two,,San Francisco
,135,https://www.livingsocial.com/deals/796600-photo-digital-enhancement-and-custom-prints,Transform your snapshots into fine art prints with this deal from Dickerman Prints. These photo pros will pore over your prized shot with 30 years ...,Photo Digital Enhancement and Custom Prints,,San Francisco
,270,https://www.livingsocial.com/deals/823820-20-trx-with-circuit-boot-camps,"Leading classes of no more than 20 students, this elite group of trainers likes to say, ""Shut up and WERKout!"" -- so we'll get right to the good st...",20 TRX with Circuit Boot Camps,,San Francisco
,20,https://www.livingsocial.com/deals/806566-20-to-spend-on-bay-area-parking,"Never search for parking again. When you use ParkNow, you can find and book your guaranteed spot in advance. This innovative service from BMW lets ...",$20 to Spend on Bay Area Parking,,San Francisco
,69,https://www.livingsocial.com/deals/816918-car-service-to-sfo-or-5-hours-of-car-service,"San Francisco Reliable Rides is on a mission to provide prompt, convenient transportation services with a smile. Hop into a newer-model car and get...",Car Service to SFO or 5 Hours of Car Service,,San Francisco
,149,https://www.livingsocial.com/deals/738542-carpet-cleaning-for-two-rooms,"Committed to quality and providing treatments especially tailored to your individual carpet type and situation, this 100% owner-operated company ha...",Carpet Cleaning for Two Rooms,,San Francisco
,20,https://www.livingsocial.com/deals/843472-two-improv-comedy-show-tickets,"With this offer, marvel as an experienced troupe of improvisers tickles your funny bone with a fast-paced, completely unscripted show based on an a...",Two Improv Comedy Show Tickets,,San Francisco
,95,https://www.livingsocial.com/deals/790992-garage-door-tune-up-and-inspection,Make sure you can easily get in -- and out -- of your garage with help from a family-owned-and-operated biz that's been serving the area for more t...,Garage Door Tune-Up and Inspection,,San Francisco
